,text_recessie_gold,text_recessie,text_boukes_gold,text_boukes,text_LIWC_gold,text_LIWC,text_sentistrength_gold,text_sentistrength,text_pattern_gold,text_pattern,text_polyglot_gold,text_polyglot,text_DANEW_gold,text_DANEW,text_top4_gold,text_top4,text_top3_gold,text_top3,text_top2_gold,text_top2,text_top1_gold,text_top1
1330,1,0,1,0,1,0,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,1,0
1331,1,0,1,0,1,0,1,-1,1,1,1,0,1,1,1,0,1,-1,1,0,1,0
1332,1,0,1,0,1,-1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,-1
1333,1,0,1,-1,1,0,1,-1,1,1,1,0,1,1,1,0,1,-1,1,0,1,0
1334,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0
1335,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1336,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1337,-1,0,-1,1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
1338,1,0,1,0,1,1,1,-1,1,0,1,0,1,0,1,0,1,0,1,1,1,1
1339,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1
1340,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
1341,1,0,1,-1,1,0,1,-1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
1342,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
1343,1,-1,1,0,1,0,1,-1,1,0,1,0,1,0,1,-1,1,-1,1,0,1,0
1344,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1345,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1346,1,0,1,0,1,-1,1,1,1,0,1,0,1,-1,1,0,1,0,1,-1,1,-1
1347,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0
1348,-1,0,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0
1349,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1350,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
1351,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1352,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,-1
1353,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1354,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1355,1,0,1,-1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0
1356,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1357,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,1,-1,1,-1,1,-1,1,-1
1358,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1359,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1
1360,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1361,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,0,-1,0
1362,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
1363,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1364,1,0,1,0,1,-1,1,0,1,-1,1,0,1,1,1,0,1,-1,1,-1,1,-1
1365,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,0
1366,-1,0,-1,-1,-1,0,-1,1,-1,1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,0
1367,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1368,-1,0,-1,0,-1,1,-1,0,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1
1369,-1,0,-1,0,-1,1,-1,0,-1,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,1
1370,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
