date_y,title_recessie,title_boukes,title_LIWC,title_sentistrength,title_pattern,title_polyglot,title_DANEW,title_gold,title_top3,ID
2015-02-03 00:00:00,0,0.0,0.0,-0.33333333333333337,0.020408163265306145,-1.0,-0.22295882763433728,1.0,-0.216882793729399,0
2015-02-03 00:00:00,0,0.0,0.0,0.33333333333333326,0.020408163265306145,-1.0,-0.1944137079289966,-1.0,-0.015154479467293203,1
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.1734693877551019,0.0,-0.2672804545320261,-1.0,-2.220446049250313e-16,2
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.4285714285714286,1.0,-0.13554321382719636,-1.0,0.11601863659834577,3
2015-02-03 00:00:00,0,0.0,-0.14289999999999992,0.0,0.020408163265306145,0.0,-0.3699201214724288,0.0,-0.1263209368300965,4
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,1.0,-0.2672804545320261,0.0,0.11601863659834577,5
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.22448979591836737,1.0,-0.0916308002589199,0.0,0.11601863659834577,6
2015-02-03 00:00:00,0,0.0,0.0,0.0,-0.08163265306122447,0.0,-0.25593257586565143,-1.0,-2.220446049250313e-16,7
2015-02-03 00:00:00,0,0.0,-0.16670000000000007,0.0,0.020408163265306145,0.0,-0.34024958478930656,0.0,-0.14735969327905596,8
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.1394557823129252,0.0,-0.05517183104384238,0.0,-2.220446049250313e-16,9
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,0.0,-0.19436982922003188,1.0,-2.220446049250313e-16,10
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,-1.0,-0.2672804545320261,-1.0,-0.1160186365983461,11
2015-02-03 00:00:00,0,0.0,0.125,0.0,0.4285714285714286,0.0,-0.20029011687743214,-1.0,0.11049767042520653,12
2015-02-03 00:00:00,0,0.0,0.3999999999999999,0.0,0.3265306122448981,1.0,0.10413754194409552,1.0,0.4696111819590074,13
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,0.0,-0.12390418432142569,0.0,-2.220446049250313e-16,14
2015-02-03 00:00:00,0,-0.5,-0.25,-0.6666666666666667,0.2500000000000002,-1.0,-0.36085525907134763,0.0,-0.5387422917108654,15
2015-02-03 00:00:00,0,0.0,0.14290000000000003,0.33333333333333326,0.5816326530612246,1.0,-0.11702176292168942,1.0,0.34320373055949505,16
2015-02-03 00:00:00,0,0.0,0.0,-0.33333333333333337,0.020408163265306145,0.0,-0.2071945293714772,1.0,-0.10086415713105312,17
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,0.0,-0.2672804545320261,-1.0,-2.220446049250313e-16,18
2015-02-03 00:00:00,0,-0.5,0.0,-1.0,-0.08163265306122447,0.0,-0.3858040993729813,-1.0,-0.3025924713931588,19
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,0.0,-0.2672804545320261,1.0,-2.220446049250313e-16,20
2015-02-03 00:00:00,0,0.0,0.0,0.33333333333333326,0.020408163265306145,0.0,-0.2672804545320261,-1.0,0.10086415713105268,21
2015-02-03 00:00:00,0,-0.5,-0.19999999999999996,-1.0,-0.04761904761904756,0.33333333333333326,-0.39462241636562456,-1.0,-0.44071586520737427,22
2015-02-03 00:00:00,0,0.0,0.0,-0.6666666666666667,0.020408163265306145,-1.0,-0.35350340280306525,0.0,-0.3177469508604519,23
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,0.0,-0.2672804545320261,0.0,-2.220446049250313e-16,24
2015-02-03 00:00:00,0,0.0,0.0,-0.33333333333333337,0.020408163265306145,-1.0,-0.21156125648305113,0.0,-0.216882793729399,25
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,1.0,-0.28540509228023503,-1.0,0.11601863659834577,26
2015-02-03 00:00:00,0,-0.5,0.0,0.0,0.020408163265306145,-1.0,-0.2672804545320261,-1.0,-0.1160186365983461,27
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,1.0,-0.21979735747360518,1.0,0.11601863659834577,28
2015-02-03 00:00:00,0,0.0,-0.125,-0.33333333333333337,0.020408163265306145,-1.0,-0.30767337643728376,0.0,-0.32738046415460575,29
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.22448979591836737,1.0,-0.16103942113396286,0.0,0.11601863659834577,30
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,0.0,-0.2672804545320261,-1.0,-2.220446049250313e-16,31
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,1.0,-0.2672804545320261,0.0,0.11601863659834577,32
2015-02-03 00:00:00,0,0.0,0.0,-0.33333333333333337,0.4965986394557822,0.5,-0.17481694267250847,-1.0,-0.04285483883188013,33
2015-02-03 00:00:00,0,0.0,0.0,0.0,-0.18367346938775508,1.0,-0.2672804545320261,0.0,0.11601863659834577,34
2015-02-03 00:00:00,0,0.0,0.0,0.6666666666666667,-0.1071428571428571,1.0,-0.15252023005336324,1.0,0.31774695086045135,35
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.020408163265306145,1.0,-0.2444853122294539,1.0,0.11601863659834577,36
2015-02-03 00:00:00,0,0.0,0.0,0.0,-0.030612244897959218,1.0,-0.21261503703161622,-1.0,0.11601863659834577,37
2015-02-03 00:00:00,0,0.0,0.0,0.0,0.29251700680272097,1.0,-0.19174332589231835,1.0,0.11601863659834577,38
