date_y,text_recessie,text_boukes,text_LIWC,text_sentistrength,text_pattern,text_polyglot,text_DANEW,text_gold,text_top3,ID
2015-02-03 00:00:00,0,0.04347826086956519,-0.3228346456692913,-0.19999999999999996,0.1766503000545554,0.16129032258064524,0.0004902738260361694,1.0,-0.24445992350954526,0
2015-02-03 00:00:00,0,-0.21739130434782605,-0.3700787401574803,0.19999999999999996,0.029787234042553346,0.33333333333333326,0.3484926332881684,1.0,-0.051687175697410104,1
2015-02-03 00:00:00,0,-0.21739130434782605,-0.2708661417322834,0.6000000000000001,0.13510638297872335,0.4545454545454546,-0.09197783893768519,1.0,0.21303159268555238,2
2015-02-03 00:00:00,0,-0.21739130434782605,-0.21102362204724412,-0.6,0.28671862114464797,0.4814814814814814,0.024359683009346655,1.0,-0.11550392442943691,3
2015-02-03 00:00:00,0,-0.21739130434782605,-0.231496062992126,-0.19999999999999996,0.07523520046316401,0.146067415730337,0.1471069147893349,1.0,-0.19030467702868992,4
2015-02-03 00:00:00,0,-0.21739130434782605,-0.4503937007874015,-0.19999999999999996,-0.15471903982542268,-0.03703703703703698,0.12382447040181233,-0.5,-0.44383160688796675,5
2015-02-03 00:00:00,0,-0.21739130434782605,-0.1543307086614173,-0.19999999999999996,0.12299898682877419,0.25,0.15459105739915824,0.5,-0.07873775394595917,6
2015-02-03 00:00:00,0,-0.30434782608695654,-0.43149606299212595,-0.19999999999999996,0.06908561296859173,0.07070707070707072,0.23069125997398254,-1.0,-0.3701365472736011,7
2015-02-03 00:00:00,0,-0.13043478260869568,-0.19212598425196847,0.19999999999999996,0.09090172239108418,0.19444444444444442,0.21487929569326103,0.0,-0.007731095363923357,8
2015-02-03 00:00:00,0,-0.30434782608695654,-0.3700787401574803,-0.19999999999999996,0.3150962512664641,0.0,0.24965812451864,-1.0,-0.3677982667603559,9
2015-02-03 07:10:41,0,-0.13043478260869568,-0.41889763779527556,0.19999999999999996,0.036058230683090775,0.2075471698113207,0.04720554447817249,0.5,-0.15609991829571768,10
2015-02-04 00:00:00,0,-0.04347826086956519,-0.1669291338582677,-0.19999999999999996,0.1446506714953979,0.20833333333333326,0.27996079280465125,0.5,-0.11087056282380636,11
2015-02-04 00:00:00,0,0.21739130434782616,-0.058267716535432945,-0.19999999999999996,-0.17173252279635243,0.11111111111111116,0.1807399646373935,1.0,-0.09102560952775729,12
2015-02-04 00:00:00,0,-0.13043478260869568,-0.3700787401574803,-0.6,-0.26241134751773043,-0.1428571428571428,-0.038209391475163335,1.0,-0.576572691948509,13
2015-02-04 00:00:00,0,0.13043478260869557,-0.3700787401574803,-0.19999999999999996,-0.17947434292866082,0.1515151515151516,0.17059843691281307,0.5,-0.2824168279963163,14
2015-02-04 00:00:00,0,-0.13043478260869568,-0.5984251968503937,-0.6,0.042553191489361764,0.11111111111111116,-0.21588064680851737,0.5,-0.5902911895202532,15
2015-02-04 00:00:00,0,0.04347826086956519,-0.12283464566929125,0.19999999999999996,0.054964539007092306,0.2753623188405796,0.19788341156059408,0.5,0.0854585652822466,16
2015-02-04 00:00:00,0,-0.21739130434782605,0.31496062992125995,-0.19999999999999996,-0.16312056737588643,0.6000000000000001,0.714299902631371,1.0,0.44081438695964326,17
2015-02-04 00:00:00,0,-0.13043478260869568,-0.3700787401574803,-0.19999999999999996,0.04714226115978315,-0.09677419354838712,-0.03906407582319926,0.5,-0.422332217970936,18
2015-02-04 00:00:00,0,-0.13043478260869568,-0.3700787401574803,-0.19999999999999996,0.022429078014184478,0.02777777777777768,-0.03477513101160368,-0.5,-0.3521450029869486,19
2015-02-04 00:00:00,0,-0.30434782608695654,-0.34173228346456697,0.19999999999999996,-0.17073961499493406,-0.032258064516129004,-0.06373754458204417,-1.0,-0.2382352699752508,20
2015-02-04 00:00:00,0,-0.21739130434782605,-0.4125984251968504,0.19999999999999996,-0.02947775628626692,0.048387096774193505,-0.12253653672879838,-1.0,-0.24146294748286645,21
2015-02-04 00:00:00,0,-0.21739130434782605,-0.43149606299212595,-0.6,0.13947990543735234,0.25,-0.018367903751086767,-1.0,-0.3973737705182131,22
2015-02-04 00:00:00,0,-0.21739130434782605,-0.17952755905511808,-0.19999999999999996,0.042159180457052914,0.33333333333333326,0.22243290166668706,0.5,-0.04908378906120969,23
2015-02-04 00:00:00,0,-0.04347826086956519,-0.28661417322834637,-0.19999999999999996,-0.1698750422154678,0.13725490196078427,-0.14163288763158877,0.5,-0.23312717804778282,24
2015-02-04 00:00:00,0,-0.21739130434782605,-0.3700787401574803,0.6000000000000001,-0.36170212765957444,-0.6,-0.48974381928845667,0.5,-0.449364912701835,25
2015-02-04 00:00:00,0,-0.21739130434782605,-0.4409448818897638,0.19999999999999996,0.1479905437352247,-0.12,0.25854969006535966,-0.5,-0.3558210773291822,26
2015-02-04 00:00:00,0,0.13043478260869557,-0.3433070866141732,0.19999999999999996,-0.21513002364066192,0.0888888888888888,0.1360587607822703,0.5,-0.17104845631570464,27
2015-02-04 00:00:00,0,-0.13043478260869568,-0.3448818897637794,-0.19999999999999996,0.03866157483178778,0.09677419354838701,0.27362235567394544,0.5,-0.29595848911430356,28
2015-02-05 00:00:00,0,-0.13043478260869568,-0.4519685039370078,-0.19999999999999996,0.06817966903073303,-0.18518518518518523,0.023225851317307367,0.5,-0.5283972944983557,29
2015-02-05 00:00:00,0,-0.21739130434782605,-0.32755905511811023,0.19999999999999996,-0.05738233397807868,0.06666666666666665,-0.019272690966040562,-0.5,-0.17275492581226026,30
